Timestamp,Presence,Temperature,Luminosite,Salle_Occupee
2025-12-28 20:09:31,0,22.4,329,False
2025-12-28 20:09:36,2,22.8,733,True
2025-12-28 20:09:41,0,21.7,226,False
2025-12-28 20:09:46,1,22.5,486,True
2025-12-28 20:09:51,3,21.9,432,True
2025-12-28 20:09:56,1,22.1,665,True
2025-12-28 20:10:01,1,21.1,714,True
2025-12-28 20:10:06,0,21.5,171,False
2025-12-28 20:10:11,1,22.1,421,True
2025-12-28 20:10:16,2,22.6,657,True
2025-12-28 20:10:21,0,22.5,201,False
2025-12-28 20:11:40,1,22.0,703,True
2025-12-28 20:11:45,2,21.8,612,True
2025-12-28 20:11:50,0,22.6,394,False
2025-12-28 20:11:55,1,21.3,549,True
2025-12-28 20:12:00,3,22.6,571,True
2025-12-28 20:12:05,0,22.8,296,False
2025-12-28 20:12:10,1,22.1,733,True
2025-12-28 20:12:15,1,22.5,421,True
2025-12-28 20:12:20,3,21.5,489,True
2025-12-28 20:12:25,1,22.6,598,True
2025-12-28 20:12:30,3,22.7,442,True
2025-12-28 20:12:35,3,22.3,763,True
2025-12-28 20:12:40,0,22.2,156,False
2025-12-28 20:12:45,2,22.6,522,True
2025-12-28 20:12:50,2,21.4,461,True
2025-12-28 20:12:55,1,22.7,577,True
2025-12-28 20:13:00,2,22.8,560,True
2025-12-28 20:13:05,2,22.7,500,True
2025-12-28 20:13:10,2,22.8,534,True
2025-12-28 20:13:15,1,21.8,780,True
2025-12-28 20:13:20,2,22.5,662,True
2025-12-28 20:13:25,2,21.5,698,True
2025-12-28 20:13:30,3,22.9,624,True
2025-12-28 20:13:35,3,21.4,404,True
2025-12-28 20:13:40,2,22.9,724,True
2025-12-28 20:13:45,3,22.6,467,True
2025-12-28 20:13:50,0,21.8,319,False
2025-12-28 20:13:55,1,23.0,462,True
2025-12-28 20:14:00,3,23.0,534,True
2025-12-28 20:14:05,0,21.2,195,False
2025-12-28 20:14:10,2,22.8,686,True
2025-12-28 20:14:15,0,22.5,258,False
2025-12-28 20:14:20,0,21.3,104,False
2025-12-28 20:14:25,1,22.9,657,True
2025-12-28 20:14:30,1,21.7,585,True
2025-12-28 20:14:35,2,22.4,615,True
2025-12-28 20:14:40,1,21.1,567,True
2025-12-28 20:14:45,3,23.2,488,True
2025-12-28 20:14:50,1,21.7,602,True
2025-12-28 20:14:55,0,21.1,340,False
2025-12-28 20:15:00,2,21.8,548,True
2025-12-28 20:15:05,1,22.8,512,True
2025-12-28 20:15:10,0,22.2,205,False
2025-12-28 20:15:15,1,21.7,588,True
2025-12-28 20:15:20,3,21.5,528,True
2025-12-28 20:15:25,2,23.1,456,True
2025-12-28 20:15:30,2,22.2,641,True
2025-12-28 20:15:35,3,22.9,599,True
2025-12-28 20:15:40,2,22.9,688,True
2025-12-28 20:15:45,1,22.2,685,True
2025-12-28 20:15:50,0,23.0,344,False
2025-12-28 20:15:55,1,22.4,681,True
2025-12-28 20:16:00,2,23.0,604,True
2025-12-28 20:16:05,0,22.6,179,False
2025-12-28 20:16:10,0,21.5,156,False
2025-12-28 20:16:15,2,23.1,596,True
2025-12-28 20:16:20,0,22.4,252,False
2025-12-28 20:16:25,0,22.5,109,False
2025-12-28 20:16:30,2,22.5,744,True
2025-12-28 20:16:35,1,21.7,453,True
2025-12-28 20:16:40,1,21.9,683,True
2025-12-28 20:16:45,1,22.2,714,True
2025-12-28 20:16:50,1,22.1,780,True
2025-12-28 20:16:55,1,22.4,428,True
2025-12-28 20:17:00,1,21.5,509,True
2025-12-28 20:17:05,2,23.1,734,True
2025-12-28 20:17:10,1,22.6,682,True
2025-12-28 20:17:15,1,22.0,573,True
2025-12-28 20:17:20,3,21.9,783,True
2025-12-28 20:17:25,3,22.0,750,True
2025-12-28 20:17:30,1,22.4,426,True
2025-12-28 20:17:35,2,22.4,790,True
2025-12-28 20:17:40,0,22.8,170,False
2025-12-28 20:17:45,1,21.5,433,True
2025-12-28 20:17:50,3,23.2,530,True
2025-12-28 20:17:55,1,21.1,761,True
2025-12-28 20:18:00,3,21.3,735,True
2025-12-28 20:18:05,3,21.8,757,True
2025-12-28 20:18:10,1,21.2,767,True
2025-12-28 20:18:15,2,21.6,520,True
2025-12-28 20:18:20,0,21.0,217,False
2025-12-28 20:18:25,3,21.8,607,True
2025-12-28 20:18:30,2,23.0,780,True
2025-12-28 20:18:35,1,22.5,405,True
2025-12-28 20:18:40,2,22.2,482,True
2025-12-28 20:18:45,2,22.3,677,True
2025-12-28 20:18:50,3,22.4,446,True
2025-12-28 20:18:55,0,22.1,300,False
2025-12-28 20:19:00,3,22.6,525,True
2025-12-28 20:19:05,3,22.4,412,True
2025-12-28 20:19:10,2,22.3,572,True
2025-12-28 20:19:15,1,22.4,468,True
2025-12-28 20:19:20,2,21.5,445,True
2025-12-28 20:19:25,1,22.5,667,True
2025-12-28 20:19:30,2,22.8,476,True
2025-12-28 20:19:35,2,22.9,703,True
2025-12-28 20:19:40,1,23.0,527,True
2025-12-28 20:19:45,3,21.8,455,True
2025-12-28 20:19:50,2,21.8,562,True
2025-12-28 20:19:55,3,22.3,503,True
2025-12-28 20:20:00,2,22.2,477,True
2025-12-28 20:20:05,2,23.1,757,True
2025-12-28 20:20:10,3,21.5,589,True
2025-12-28 20:20:15,3,22.0,673,True
2025-12-28 20:20:20,3,22.3,726,True
2025-12-28 20:20:25,1,21.2,426,True
2025-12-28 20:20:30,3,21.9,779,True
2025-12-28 20:20:35,1,22.3,668,True
2025-12-28 20:20:40,0,21.4,327,False
2025-12-28 20:20:45,2,22.0,755,True
2025-12-28 20:20:50,1,21.5,670,True
2025-12-28 20:20:55,2,21.4,512,True
2025-12-28 20:21:00,0,21.4,394,False
2025-12-28 20:21:05,0,21.1,358,False
2025-12-28 20:21:10,2,21.3,762,True
2025-12-28 20:21:15,0,21.2,208,False
2025-12-28 20:21:20,1,21.9,567,True
2025-12-28 20:21:25,3,21.5,453,True
2025-12-28 20:21:30,2,22.3,665,True
2025-12-28 20:21:35,0,21.9,246,False
2026-01-01 18:48:28,10,23.2,704,True
2026-01-01 18:48:33,9,22.0,712,True
2026-01-01 18:48:38,7,21.6,472,True
2026-01-01 18:48:43,7,22.9,441,True
2026-01-01 18:48:48,15,22.2,608,True
2026-01-01 18:48:53,30,23.3,563,True
2026-01-01 18:48:58,11,22.1,694,True
2026-01-01 18:49:03,6,22.9,655,True
2026-01-01 18:49:08,19,24.1,496,True
2026-01-01 18:49:13,5,21.6,777,True
2026-01-01 18:49:18,11,22.2,686,True
2026-01-01 18:49:23,23,23.7,721,True
2026-01-01 18:49:28,17,22.4,476,True
2026-01-01 18:49:33,29,24.3,544,True
2026-01-01 18:49:38,18,22.5,552,True
2026-01-01 18:49:43,13,23.5,563,True
2026-01-01 18:49:48,26,24.1,516,True
2026-01-01 18:49:53,10,21.9,582,True
2026-01-01 18:49:58,17,23.5,800,True
2026-01-01 18:52:06,9,21.8,452,True
2026-01-01 18:52:11,11,22.4,584,True
2026-01-01 18:52:16,7,21.7,545,True
2026-01-01 18:52:21,8,22.9,486,True
2026-01-01 18:52:26,29,23.0,470,True
2026-01-01 18:52:31,26,24.5,716,True
2026-01-01 18:52:36,17,22.8,703,True
2026-01-01 18:52:41,28,23.4,696,True
2026-01-01 18:52:46,26,24.4,544,True
2026-01-01 18:52:51,13,22.1,655,True
2026-01-01 18:52:56,19,23.5,594,True
2026-01-01 18:53:01,14,22.5,574,True
2026-01-01 18:53:06,11,22.7,427,True
2026-01-01 18:53:11,29,24.9,445,True
2026-01-01 18:53:16,6,23.2,575,True
2026-01-01 18:53:21,15,22.4,579,True
2026-01-01 18:53:26,19,22.9,505,True
2026-01-01 18:53:31,11,22.3,494,True
2026-01-01 18:53:36,28,24.7,671,True
2026-01-01 18:53:41,19,22.7,534,True
2026-01-01 18:53:46,14,22.6,433,True
2026-01-01 18:53:51,28,24.2,739,True
2026-01-01 18:53:56,8,22.2,416,True
2026-01-01 18:54:01,25,23.3,413,True
2026-01-01 18:54:06,15,23.9,628,True
2026-01-01 18:54:11,29,23.3,529,True
2026-01-01 18:54:16,27,24.6,631,True
2026-01-01 18:54:21,29,23.1,416,True
2026-01-01 18:54:26,25,23.1,602,True
2026-01-01 18:54:31,29,24.7,638,True
2026-01-01 18:54:36,30,24.5,693,True
2026-01-01 18:54:41,24,22.8,626,True
2026-01-01 18:54:46,15,22.4,704,True
2026-01-01 18:54:51,30,23.7,744,True
2026-01-01 18:54:56,9,21.7,759,True
2026-01-01 18:55:01,28,24.3,773,True
2026-01-01 18:55:06,9,23.4,765,True
2026-01-01 18:55:11,13,23.1,795,True
2026-01-01 18:55:16,7,23.3,747,True
2026-01-01 18:55:21,11,23.3,610,True
2026-01-01 18:55:26,19,22.4,603,True
2026-01-01 18:55:31,11,22.9,410,True
2026-01-01 18:55:36,5,22.7,479,True
2026-01-01 18:55:41,6,22.0,727,True
2026-01-01 18:55:46,12,22.9,615,True
2026-01-01 18:55:51,12,22.4,501,True
2026-01-01 18:55:56,15,22.8,643,True
2026-01-01 18:56:01,19,23.5,761,True
2026-01-01 18:56:06,20,23.8,648,True
2026-01-01 18:56:11,11,22.6,510,True
2026-01-01 18:56:16,18,24.0,485,True
2026-01-01 18:56:21,16,22.2,529,True
2026-01-01 18:56:26,30,23.5,666,True
2026-01-01 18:56:31,26,24.7,494,True
2026-01-01 18:56:36,24,23.0,450,True
2026-01-01 18:56:41,6,23.2,482,True
2026-01-01 18:56:46,8,22.9,764,True
2026-01-01 18:56:51,13,22.1,512,True
2026-01-01 18:56:56,11,22.8,661,True
2026-01-01 18:57:01,12,23.6,721,True
2026-01-01 18:57:06,27,23.3,565,True
2026-01-01 18:57:11,29,23.7,699,True
2026-01-01 18:57:16,15,22.1,611,True
2026-01-01 18:57:21,18,24.1,711,True
2026-01-01 18:57:26,26,23.3,626,True
2026-01-01 18:57:31,20,23.7,439,True
2026-01-01 18:57:36,19,22.7,796,True
2026-01-01 18:57:41,17,22.7,745,True
2026-01-01 18:57:46,20,23.4,569,True
2026-01-01 18:57:51,19,23.0,656,True
2026-01-01 18:57:56,28,23.3,598,True
2026-01-01 18:58:01,19,24.2,591,True
2026-01-01 18:58:06,14,22.1,772,True
2026-01-01 18:58:11,20,23.3,423,True
2026-01-01 18:58:16,10,22.1,602,True
2026-01-01 18:58:21,27,23.1,673,True
2026-01-01 18:58:26,19,22.6,644,True
2026-01-01 18:58:31,23,23.5,528,True
2026-01-01 18:58:36,17,22.9,661,True
2026-01-01 18:58:41,8,22.5,435,True
2026-01-01 18:58:46,21,23.6,445,True
2026-01-01 18:58:51,6,22.6,790,True
2026-01-01 18:58:56,7,21.7,550,True
2026-01-01 18:59:01,24,24.3,532,True
2026-01-01 18:59:06,13,23.6,696,True
2026-01-01 18:59:11,20,23.4,576,True
2026-01-01 18:59:16,28,24.5,749,True
2026-01-01 18:59:21,6,23.4,766,True
2026-01-01 18:59:26,6,22.4,720,True
2026-01-01 18:59:31,28,23.5,476,True
2026-01-01 18:59:36,5,21.6,538,True
2026-01-01 18:59:41,11,22.9,540,True
2026-01-01 18:59:46,17,23.4,738,True
2026-01-01 18:59:51,7,23.4,550,True
2026-01-01 18:59:56,16,22.7,716,True
2026-01-01 19:00:01,1,22.3,725,True
2026-01-01 19:00:06,1,22.0,485,True
2026-01-01 19:00:11,1,22.7,719,True
2026-01-01 19:00:16,2,22.5,468,True
2026-01-01 19:00:21,2,22.3,640,True
2026-01-01 19:00:26,1,21.5,535,True
2026-01-01 19:00:31,1,21.3,540,True
2026-01-01 19:00:36,0,22.6,247,False
2026-01-01 19:00:41,1,22.4,651,True
2026-01-01 19:00:46,3,22.6,732,True
2026-01-01 19:00:51,3,21.4,536,True
2026-01-01 19:00:56,1,21.6,508,True
2026-01-01 19:01:01,2,22.2,508,True
2026-01-01 19:01:06,3,21.4,764,True
2026-01-01 19:01:11,3,22.2,405,True
2026-01-01 19:01:16,3,21.7,457,True
2026-01-01 19:01:21,3,22.0,656,True
2026-01-01 19:01:26,3,22.8,588,True
2026-01-01 19:01:31,3,23.2,708,True
2026-01-01 19:01:36,3,21.5,657,True
2026-01-01 19:01:41,1,21.4,640,True
2026-01-01 19:01:46,0,22.7,382,False
